year,SPEI_mean,tree,lat,lon
1922,0.812271237373352,003 _XX_ Robertson,52.833,0.5
1923,0.18734562849359854,003 _XX_ Robertson,52.833,0.5
1924,0.8865259311028889,003 _XX_ Robertson,52.833,0.5
1925,-0.5155616993350642,003 _XX_ Robertson,52.833,0.5
1926,-0.17820443425859725,003 _XX_ Robertson,52.833,0.5
1927,0.37140650834356037,003 _XX_ Robertson,52.833,0.5
1928,-0.0928294610764299,003 _XX_ Robertson,52.833,0.5
1929,-1.1244724988937378,003 _XX_ Robertson,52.833,0.5
1930,0.48626347311905455,003 _XX_ Robertson,52.833,0.5
1931,1.3525116017886571,003 _XX_ Robertson,52.833,0.5
1932,0.7215678819588253,003 _XX_ Robertson,52.833,0.5
1933,-0.7255446740559169,003 _XX_ Robertson,52.833,0.5
1934,-1.1651999013764518,003 _XX_ Robertson,52.833,0.5
1935,-0.09441099929556783,003 _XX_ Robertson,52.833,0.5
1936,0.7239744037921939,003 _XX_ Robertson,52.833,0.5
1937,1.0611751300415821,003 _XX_ Robertson,52.833,0.5
1938,-0.8071966128689902,003 _XX_ Robertson,52.833,0.5
1939,0.602846165320703,003 _XX_ Robertson,52.833,0.5
1940,-0.1714970746210643,003 _XX_ Robertson,52.833,0.5
1941,0.8926814081413406,003 _XX_ Robertson,52.833,0.5
1942,-0.27054718668971744,003 _XX_ Robertson,52.833,0.5
1943,-1.0297913977078028,003 _XX_ Robertson,52.833,0.5
1944,-0.5231032222509384,003 _XX_ Robertson,52.833,0.5
1945,-0.5688300345625196,003 _XX_ Robertson,52.833,0.5
1946,0.2654940562455782,003 _XX_ Robertson,52.833,0.5
1947,-0.014374077320098877,003 _XX_ Robertson,52.833,0.5
1948,0.005323333399636405,003 _XX_ Robertson,52.833,0.5
1949,-1.3184877974646432,003 _XX_ Robertson,52.833,0.5
1950,0.18958443190370286,003 _XX_ Robertson,52.833,0.5
1951,1.3492176761584622,003 _XX_ Robertson,52.833,0.5
1952,-0.8799168254647937,003 _XX_ Robertson,52.833,0.5
1953,-0.2942760762359415,003 _XX_ Robertson,52.833,0.5
1954,0.5183400937489101,003 _XX_ Robertson,52.833,0.5
1955,0.25362727471760343,003 _XX_ Robertson,52.833,0.5
1956,0.25224357417651583,003 _XX_ Robertson,52.833,0.5
